,acc,loss,lr,val_acc,val_loss,val_lr
0,0.498375,1.1091176240444183,6.0,0.56,1.0249853858947753,6.0
1,0.56840625,1.006969418168068,1.0,0.576375,0.9871296000480652,1.0
2,0.57540625,0.993433215379715,1.0,0.57275,0.979406732082367,1.0
3,0.5766875,0.9861995495557785,1.0,0.5755,0.9740467109680175,1.0
4,0.58109375,0.9785051926374435,1.0,0.576,0.9844446535110474,1.0
5,0.58296875,0.9741653193235398,1.0,0.57825,0.9734584593772888,1.0
6,0.5846875,0.9708111872673034,1.0,0.58325,0.9662543363571167,1.0
7,0.591625,0.9653386029005051,1.0,0.58125,0.9718174920082092,1.0
8,0.58771875,0.9632292815446853,1.0,0.576625,0.9762829518318177,1.0
9,0.58946875,0.9606609469652176,1.0,0.578875,0.9615505976676941,1.0
10,0.59290625,0.9562659523487091,1.0,0.58125,0.9634496431350708,1.0
11,0.5945625,0.9557063947916031,1.0,0.575,0.9748939051628113,1.0
12,0.59409375,0.9559332690238953,1.0,0.582,0.9644526448249817,1.0
13,0.5949375,0.951521331191063,1.0,0.57725,0.9610902519226074,1.0
14,0.5941875,0.9502889831066131,1.0,0.579625,0.9619704494476319,1.0
15,0.59646875,0.9483746682405472,1.0,0.581375,0.9563797836303711,1.0
16,0.5979375,0.9480983166694641,1.0,0.5815,0.9582892479896545,1.0
17,0.59975,0.9448648335933685,1.0,0.582875,0.9577012243270874,1.0
18,0.59696875,0.9448757429122925,1.0,0.581,0.9597042903900147,1.0
19,0.59959375,0.942532178401947,1.0,0.58075,0.9629192276000976,1.0
20,0.5994375,0.942089599609375,1.0,0.583375,0.9588885731697082,1.0
21,0.60003125,0.9415374262332916,1.0,0.584375,0.9588430027961731,1.0
22,0.5996875,0.9382617975473404,1.0,0.584875,0.9611325488090515,1.0
23,0.60503125,0.9362260799407959,1.0,0.585875,0.959413212299347,1.0
24,0.60484375,0.9330480026006699,1.0,0.585125,0.9563509159088135,1.0
25,0.60278125,0.9343120633363724,1.0,0.584375,0.9582967605590821,1.0
26,0.60559375,0.9352623763084411,1.0,0.584,0.9604795665740967,1.0
27,0.6055,0.9313055819272995,1.0,0.584625,0.9588587002754212,1.0
28,0.608,0.9323261581659317,1.0,0.586125,0.9591922640800477,1.0
29,0.60534375,0.9319902729988098,1.0,0.585375,0.9612212653160095,1.0
30,0.6046875,0.9312897629737854,1.0,0.58425,0.9618305978775025,1.0
31,0.60578125,0.9300799101591111,1.0,0.58375,0.9588435697555542,1.0
32,0.6065,0.9308948554992675,1.0,0.584125,0.9647561917304993,1.0
33,0.60878125,0.9291260110139847,1.0,0.583125,0.9671398367881775,1.0
34,0.60465625,0.9297406049966812,1.0,0.584,0.965809618473053,1.0
35,0.60846875,0.9278043253421784,1.0,0.583875,0.9597958731651306,1.0
36,0.60778125,0.9273127057552337,1.0,0.583875,0.9619722957611084,1.0
37,0.6065,0.9274313620328903,1.0,0.5835,0.9584874701499939,1.0
38,0.6114375,0.9233551446199417,1.0,0.584375,0.9596528549194336,1.0
39,0.60784375,0.9242279770374298,1.0,0.583125,0.9588608002662659,1.0
40,0.6106875,0.9229114706516266,1.0,0.58575,0.9611225571632386,1.0
41,0.6090625,0.9234945539236069,1.0,0.582625,0.9608026423454284,1.0
42,0.61228125,0.923543027639389,1.0,0.580625,0.9582758736610413,1.0
43,0.6121875,0.9220048198699952,1.0,0.583625,0.9598789238929748,1.0
44,0.6091875,0.9222892086505889,1.0,0.57875,0.9602398629188538,1.0
45,0.60740625,0.9231993571519852,1.0,0.58475,0.9617949676513672,1.0
46,0.61015625,0.9217080026865005,1.0,0.585,0.9612965517044068,1.0
47,0.61,0.9205213260650634,1.0,0.583,0.9668557682037353,1.0
48,0.61053125,0.9219178202152252,1.0,0.58575,0.9628014388084412,1.0
49,0.613,0.9186719315052032,1.0,0.584875,0.9581870675086975,1.0
