,acc,loss,val_acc,val_loss
0,0.5139964587821233,1.1369817199262349,0.6094956148549342,0.9691374019486362
1,0.5921863058027995,0.980207257462589,0.6163688309036098,0.9539082054546296
2,0.6002220440127054,0.9709080225293704,0.6175319893586783,0.9512288630909984
3,0.6025481791636311,0.9658885485987738,0.6177434742898206,0.9476928471119721
4,0.6038434121627073,0.9612765220529306,0.6194353411335566,0.9455045885259208
5,0.6057201805451535,0.958398787419331,0.6203870156028879,0.9453522028322513
6,0.6040813131735234,0.9586871170319503,0.6181664395826468,0.9446482268501137
7,0.6069625472824571,0.9559254209858071,0.6185894062935808,0.942648547969107
8,0.6094737156257827,0.9519183411101214,0.6192238565175493,0.9423726211772026
9,0.607121148796628,0.9512218988429217,0.6207042409512235,0.9412925538028964
10,0.6060373801466734,0.9502787970333195,0.6209157254096631,0.9406144039013478
11,0.609209382130056,0.951018359708936,0.6196468249617261,0.9404983843773355
12,0.6069096806457036,0.9484724854200977,0.619858307686923,0.9399524326933052
13,0.6094208483698379,0.9485035424524779,0.6209157269853385,0.939474512340277
14,0.6093944147993731,0.9484719971239619,0.6211272106559405,0.9391632055749699
15,0.6092358157383341,0.9471960706303819,0.6212329517034039,0.9390129802707791
16,0.611456217124181,0.946118382331681,0.6210214681903693,0.9386068521335562
17,0.6087335815358724,0.9475137354824628,0.621550177524442,0.9384304911853067
18,0.6109804171302822,0.9446652971013318,0.620915727142906,0.9381155174076273
19,0.6091036492409831,0.9472910020977912,0.6211272101832379,0.9377993072101553
