,acc,loss,val_acc,val_loss
0,0.36059375,1.444045464515686,0.434,1.3513482236862182
1,0.43315625,1.330012327671051,0.439625,1.3187207107543946
2,0.4538125,1.308801996946335,0.477,1.3000948209762573
3,0.477875,1.2832652797698976,0.485125,1.2766968936920167
4,0.48753125,1.2639745604991912,0.493625,1.2631285343170167
5,0.49778125,1.2499944598674775,0.49775,1.2565978784561158
6,0.5035,1.2367479823827743,0.496625,1.2545770998001098
7,0.5045,1.2313554750680924,0.49675,1.2465317978858947
8,0.50646875,1.2261680903434753,0.5,1.2409506063461304
9,0.5085625,1.2173112273216247,0.50275,1.237592230319977
10,0.5128125,1.2114479857683182,0.503125,1.2316059408187867
11,0.51353125,1.2079018857479096,0.49925,1.2394030394554139
12,0.5151875,1.2020772725343705,0.505,1.2297296571731566
13,0.5190625,1.1994830375909806,0.499375,1.239988268852234
14,0.51978125,1.1950377253293991,0.5035,1.2359465103149414
15,0.51946875,1.1920113112926483,0.502375,1.2431609754562378
16,0.5204375,1.1904302531480788,0.505375,1.2295161743164063
17,0.52365625,1.1858961169719695,0.508,1.2308960309028625
18,0.526375,1.1830748348236084,0.494625,1.2413752660751343
19,0.52496875,1.180855868577957,0.505375,1.22746990442276
20,0.52746875,1.1794027032852172,0.508125,1.2283114376068116
21,0.5285625,1.17798955142498,0.5065,1.2293149647712707
22,0.5305,1.1737869721651077,0.501875,1.235062788963318
23,0.529,1.1711818801164626,0.50625,1.2308854818344117
24,0.53209375,1.1670991803407669,0.503375,1.2403882279396057
25,0.5309375,1.1676954740285874,0.509375,1.231958565235138
26,0.5321875,1.1651525595188141,0.50625,1.2342335815429688
27,0.5324375,1.164339203596115,0.506,1.2287247219085693
28,0.5301875,1.165192104458809,0.504375,1.236141471862793
29,0.5339375,1.1608104714155196,0.50125,1.2344108734130859
